filename,status,error,gt_period,detected_period,detected_period_harmonic_corrected,harmonic_type,confidence,n_detections,time_span_days,error_pct,error_pct_harmonic_corrected
TIC_193634953.csv,SUCCESS,,2.94815527,3.6312502054025657,3.6312502054025657,1x,0.23493592708561062,76,220.31479062103654,23.1702496253722,23.1702496253722
TIC_193754373.csv,SUCCESS,,3.9540709,1.737471092461135,3.47494218492227,2x,0.41273368412919365,116,1164.3849086794517,56.05867632618487,12.117352652369743
TIC_194736418.csv,SUCCESS,,5.8267311,0.7454752555207217,5.9638020441657735,8x,0.2606065206228002,148,1872.1691573495098,87.2059437319714,2.352450144228787
TIC_200215494.csv,SUCCESS,,11.12214,0.8223195018308731,8.223195018308731,10x,0.16954480216205647,1010,785.0828446166602,92.60646330804258,26.064633080425793
TIC_202425357.csv,SUCCESS,,3.62156552,0.7421983005767743,3.7109915028838714,5x,0.246254742330281,292,786.8433628758298,79.50614736974924,2.4692631512537564
TIC_20375215.csv,SUCCESS,,3274.0,0.750416703856763,7.50416703856763,10x,0.36687384878951756,175,2230.9056458503796,99.97707951423772,99.7707951423773
TIC_204650483.csv,SUCCESS,,9.95581,2.4852566005982633,9.941026402393053,4x,0.043021220744819205,500,758.6167183868456,75.03712304073437,0.14849216293748663
TIC_206541859.csv,SUCCESS,,30.08364,0.7568680185609082,7.568680185609082,10x,0.43669574942013717,54,1118.181921015559,97.48412087579526,74.84120875795254
TIC_209464063.csv,SUCCESS,,47.73022,1.7108531127757243,17.108531127757242,10x,0.4083098968763367,41,759.0423875493441,96.41557672942692,64.15576729426925
TIC_210083929.csv,NO_PERIOD,no_valid_clusters,2.392679,,,1x,0.0,25,24.919083650509947,,
TIC_215687919.csv,SUCCESS,,40.43914,0.7374915262868399,7.374915262868399,10x,0.37140497369291664,225,1465.7133229081721,98.17629275428004,81.76292754280037
TIC_219016883.csv,SUCCESS,,4.872171,0.32676713910414396,3.2676713910414397,10x,0.3489044892587575,360,81.91336662632511,93.29319231397783,32.93192313977815
TIC_219041246.csv,SUCCESS,,10.441989,1.8331030868152727,10.998618520891636,6x,0.46085551846317635,66,1656.1304042264837,82.44488586594687,5.330684804318761
TIC_219854519.csv,SUCCESS,,31.034,1.5532902088179046,15.532902088179046,10x,0.41174357872429934,471,1272.1731440698636,94.99487591410096,49.94875914100971
TIC_22233480.csv,SUCCESS,,7.44628,0.7498327788203276,7.498327788203277,10x,0.3290609678617902,169,1115.682184537819,89.93010229510135,0.6989770489865654
TIC_229540730.csv,NO_PERIOD,no_valid_clusters,522.3,,,1x,0.0,140,1711.4112540971248,,
TIC_22972926.csv,SUCCESS,,5859.08992,4.641595574756546,46.41595574756546,10x,0.06858943971676465,594,2226.291510634389,99.92077958116137,99.20779581161361
